mobility_model,cmr,seed,scheme,total_cost
fluid_flow,0.5,1005,AM-RL-LU (Q-learning),73226.0
fluid_flow,0.5,1005,AM-RL-LU (DQN),7072.0
fluid_flow,1.0,1001,Static Movement-based,8925.0
fluid_flow,1.0,1001,Static Distance-based,8925.0
fluid_flow,1.0,1001,Static Time-based,9675.0
fluid_flow,1.0,1001,AM-RL-LU (Q-learning),10907.0
fluid_flow,1.0,1001,AM-RL-LU (DQN),9817.0
fluid_flow,1.0,1002,Static Movement-based,9410.0
fluid_flow,1.0,1002,Static Distance-based,9410.0
fluid_flow,1.0,1002,Static Time-based,9850.0
fluid_flow,1.0,1002,AM-RL-LU (Q-learning),10942.0
fluid_flow,1.0,1002,AM-RL-LU (DQN),10370.0
fluid_flow,1.0,1003,Static Movement-based,9236.0
fluid_flow,1.0,1003,Static Distance-based,9236.0
fluid_flow,1.0,1003,Static Time-based,9836.0
fluid_flow,1.0,1003,AM-RL-LU (Q-learning),11534.0
fluid_flow,1.0,1003,AM-RL-LU (DQN),9888.0
fluid_flow,1.0,1004,Static Movement-based,9110.0
fluid_flow,1.0,1004,Static Distance-based,9110.0
fluid_flow,1.0,1004,Static Time-based,9640.0
fluid_flow,1.0,1004,AM-RL-LU (Q-learning),13346.0
fluid_flow,1.0,1004,AM-RL-LU (DQN),9806.0
fluid_flow,1.0,1005,Static Movement-based,8747.0
fluid_flow,1.0,1005,Static Distance-based,8747.0
fluid_flow,1.0,1005,Static Time-based,9577.0
fluid_flow,1.0,1005,AM-RL-LU (Q-learning),11137.0
fluid_flow,1.0,1005,AM-RL-LU (DQN),9435.0
fluid_flow,2.0,1001,Static Movement-based,12698.0
fluid_flow,2.0,1001,Static Distance-based,12698.0
fluid_flow,2.0,1001,Static Time-based,13448.0
fluid_flow,2.0,1001,AM-RL-LU (Q-learning),16280.0
fluid_flow,2.0,1001,AM-RL-LU (DQN),14544.0
fluid_flow,2.0,1002,Static Movement-based,13379.0
fluid_flow,2.0,1002,Static Distance-based,13379.0
fluid_flow,2.0,1002,Static Time-based,13819.0
fluid_flow,2.0,1002,AM-RL-LU (Q-learning),16899.0
fluid_flow,2.0,1002,AM-RL-LU (DQN),15539.0
fluid_flow,2.0,1003,Static Movement-based,12855.0
fluid_flow,2.0,1003,Static Distance-based,12855.0
fluid_flow,2.0,1003,Static Time-based,13455.0
fluid_flow,2.0,1003,AM-RL-LU (Q-learning),16225.0
fluid_flow,2.0,1003,AM-RL-LU (DQN),14341.0
fluid_flow,2.0,1004,Static Movement-based,12890.0
fluid_flow,2.0,1004,Static Distance-based,12890.0
fluid_flow,2.0,1004,Static Time-based,13420.0
fluid_flow,2.0,1004,AM-RL-LU (Q-learning),15536.0
fluid_flow,2.0,1004,AM-RL-LU (DQN),14168.0
fluid_flow,2.0,1005,Static Movement-based,12212.0
fluid_flow,2.0,1005,Static Distance-based,12212.0
fluid_flow,2.0,1005,Static Time-based,13042.0
fluid_flow,2.0,1005,AM-RL-LU (Q-learning),14548.0
fluid_flow,2.0,1005,AM-RL-LU (DQN),13494.0
fluid_flow,5.0,1001,Static Movement-based,23569.0
fluid_flow,5.0,1001,Static Distance-based,23569.0
